,Serial,Model,Target Timestamp,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,TARGET
64,1625343,model 10,2017-05-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1554481,model 20,2017-05-14 00:00:00,925.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0
66,1555490,model 13,2017-05-14 00:00:00,1216.0,1212.0,941.0,0.0,1255.0,2240.0,1185.0,1445.0,1824.0,2436.0,9.0,9.0,4.0,0.0,6.0,9.0,12.0,9.0,10.0,11.0,1238.0
67,1558041,model 18,2017-05-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1612713,model 18,2017-05-14 00:00:00,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1625343,model 10,2017-05-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1554481,model 20,2017-05-21 00:00:00,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,7.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0
71,1555490,model 13,2017-05-21 00:00:00,1212.0,941.0,0.0,1255.0,2240.0,1185.0,1445.0,1824.0,2436.0,1238.0,9.0,4.0,0.0,6.0,9.0,12.0,9.0,10.0,11.0,9.0,546.0
72,1558041,model 18,2017-05-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1612713,model 18,2017-05-21 00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1625343,model 10,2017-05-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1554481,model 20,2017-05-28 00:00:00,0.0,0.0,744.0,0.0,0.0,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1555490,model 13,2017-05-28 00:00:00,941.0,0.0,1255.0,2240.0,1185.0,1445.0,1824.0,2436.0,1238.0,546.0,4.0,0.0,6.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,1146.0
77,1558041,model 18,2017-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1612713,model 18,2017-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,1625343,model 10,2017-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
